"source_nlcs_id","link_purpose","url"
"NLCS000280","administering_agency_url","https://www.nps.gov/cali/learn/management/index.htm"
"NLCS000281","administering_agency_url","https://www.nps.gov/poex/learn/management/index.htm"
"NLCS000282","administering_agency_url","https://www.nps.gov/olsp/learn/management/index.htm"
"NLCS000283","administering_agency_url","https://www.nps.gov/juba/learn/management/index.htm"
"NLCS000284","administering_agency_url","https://www.fs.usda.gov/trails/pacific-crest-nst"
"NLCS000285","administering_agency_url","https://www.nps.gov/buov/learn/management/index.htm"
"NLCS000280","management_evidence_url","https://www.blm.gov/programs/national-conservation-lands/national-scenic-and-historic-trails/california"
"NLCS000281","management_evidence_url","https://www.blm.gov/programs/national-conservation-lands/pony-express"
"NLCS000282","management_evidence_url","https://parkplanning.nps.gov/Final-OLSP-CAS"
"NLCS000283","management_evidence_url","https://www.nps.gov/juba/getinvolved/upload/JUBA_FD_508_2023-0329.pdf"
"NLCS000284","management_evidence_url","https://www.fs.usda.gov/trails/pacific-crest-nst/land-resources"
"NLCS000285","management_evidence_url","https://www.nps.gov/buov/getinvolved/planning.htm"
"NLCS000280","official_page_url","https://www.nps.gov/cali/"
"NLCS000281","official_page_url","https://www.nps.gov/poex/"
"NLCS000282","official_page_url","https://www.nps.gov/olsp/"
"NLCS000283","official_page_url","https://www.nps.gov/juba/"
"NLCS000284","official_page_url","https://www.fs.usda.gov/trails/pacific-crest-nst"
"NLCS000285","official_page_url","https://www.nps.gov/buov/"
"NLCS000280","official_map_url","https://www.nps.gov/cali/planyourvisit/maps.htm"
"NLCS000281","official_map_url","https://www.nps.gov/poex/planyourvisit/maps.htm"
"NLCS000282","official_map_url","https://www.nps.gov/olsp/planyourvisit/maps.htm"
"NLCS000283","official_map_url","https://www.nps.gov/juba/planyourvisit/maps.htm"
"NLCS000284","official_map_url","https://www.fs.usda.gov/trails/pacific-crest-nst/maps-publications"
"NLCS000285","official_map_url","https://www.nps.gov/buov/planyourvisit/maps.htm"
"NLCS000280","management_plan_url","https://www.nps.gov/cali/learn/management/upload/CALI-CMP-SM-updated.pdf"
"NLCS000281","management_plan_url","https://www.nps.gov/cali/learn/management/upload/CALI-CMP-SM-updated.pdf"
"NLCS000282","management_plan_url","https://parkplanning.nps.gov/Final-OLSP-CAS"
"NLCS000283","management_plan_url","https://www.nps.gov/juba/learn/management/juba-cmp.htm"
"NLCS000284","management_plan_url","https://www.fs.usda.gov/media/255520"
"NLCS000285","management_plan_url","https://parkplanning.nps.gov/buov"
"NLCS000280","gis_download_url","https://www.nps.gov/subjects/nationaltrailssystem/gis.htm"
"NLCS000281","gis_download_url","https://www.nps.gov/subjects/nationaltrailssystem/gis.htm"
"NLCS000282","gis_download_url","https://irma.nps.gov/DataStore/Reference/Profile/2244633"
"NLCS000283","gis_download_url","https://www.nps.gov/subjects/nationaltrailssystem/gis.htm"
"NLCS000284","gis_download_url","https://www.fs.usda.gov/trails/pacific-crest-nst/data-tools"
"NLCS000285","gis_download_url","https://irma.nps.gov/DataStore/Reference/Profile/2260082"
"NLCS000280","partner_url","https://octa-trails.org/"
"NLCS000281","partner_url","https://nationalponyexpress.org/"
"NLCS000282","partner_url","https://oldspanishtrail.org/"
"NLCS000283","partner_url","https://anzahistorictrail.org/"
"NLCS000284","partner_url","https://www.pcta.org/"
"NLCS000285","partner_url","https://www.butterfieldtrail.org/"
"NLCS000280","conditions_url","https://www.nps.gov/cali/planyourvisit/conditions.htm"
"NLCS000281","conditions_url","https://www.nps.gov/poex/planyourvisit/conditions.htm"
"NLCS000282","conditions_url","https://www.nps.gov/olsp/planyourvisit/conditions.htm"
"NLCS000283","conditions_url","https://www.nps.gov/juba/planyourvisit/conditions.htm"
"NLCS000284","conditions_url","https://www.pcta.org/discover-the-trail/closures/"
"NLCS000285","conditions_url","https://www.nps.gov/buov/planyourvisit/conditions.htm"
"NLCS000284","permit_url","https://permit.pcta.org/"
"NLCS000285","closest_final_study_url","https://parkplanning.nps.gov/document.cfm?documentID=88283"
