"relative_path","size_bytes","modified","size_mib","reason","reproducibility_copy","active_full_copy"
".DS_Store",12292,2026-07-18 13:50:15.369515,0.0117225646972656,"Operating-system metadata omitted.","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38_codex_work/.DS_Store","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38/.DS_Store"
"01_raw_data/blm/albion_rev1.csv",11936,2026-07-06 17:22:52,0.011383056640625,"Historical/raw preprocessor input externalized from the lean Codex project; full copy retained in reproducibility and active roots.","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38_codex_work/01_raw_data/blm/albion_rev1.csv","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38/01_raw_data/blm/albion_rev1.csv"
"01_raw_data/blm/albion_rev1.xlsx",68457,2026-07-06 16:13:00,0.0652856826782227,"Historical/raw preprocessor input externalized from the lean Codex project; full copy retained in reproducibility and active roots.","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38_codex_work/01_raw_data/blm/albion_rev1.xlsx","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38/01_raw_data/blm/albion_rev1.xlsx"
"01_raw_data/blm/BLM Drilled Water Wells 20260611 CA Wells for Internal Use May Have PII_BRIM_xlsx.xlsx",2856091,2026-07-06 15:58:00,2.72378063201904,"Historical/raw preprocessor input externalized from the lean Codex project; full copy retained in reproducibility and active roots.","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38_codex_work/01_raw_data/blm/BLM Drilled Water Wells 20260611 CA Wells for Internal Use May Have PII_BRIM_xlsx.xlsx","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38/01_raw_data/blm/BLM Drilled Water Wells 20260611 CA Wells for Internal Use May Have PII_BRIM_xlsx.xlsx"
"01_raw_data/blm/BLM Drilled Water Wells 20260611 CA Wells for Internal Use May Have PII_orig.xlsx",2855733,2026-07-06 15:48:47,2.72343921661377,"Historical/raw preprocessor input externalized from the lean Codex project; full copy retained in reproducibility and active roots.","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38_codex_work/01_raw_data/blm/BLM Drilled Water Wells 20260611 CA Wells for Internal Use May Have PII_orig.xlsx","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38/01_raw_data/blm/BLM Drilled Water Wells 20260611 CA Wells for Internal Use May Have PII_orig.xlsx"
"01_raw_data/blm/blmcaoffices.csv",1099,2025-08-12 23:55:50,0.00104808807373047,"Historical/raw preprocessor input externalized from the lean Codex project; full copy retained in reproducibility and active roots.","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38_codex_work/01_raw_data/blm/blmcaoffices.csv","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38/01_raw_data/blm/blmcaoffices.csv"
"01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.cpg",5,2025-08-13 12:22:36,4.76837158203125e-06,"Historical/raw preprocessor input externalized from the lean Codex project; full copy retained in reproducibility and active roots.","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38_codex_work/01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.cpg","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38/01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.cpg"
"01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.dbf",28098552,2025-08-13 12:22:37,26.7968673706055,"Historical/raw preprocessor input externalized from the lean Codex project; full copy retained in reproducibility and active roots.","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38_codex_work/01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.dbf","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38/01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.dbf"
"01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.prj",468,2025-08-13 12:21:49,0.000446319580078125,"Historical/raw preprocessor input externalized from the lean Codex project; full copy retained in reproducibility and active roots.","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38_codex_work/01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.prj","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38/01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.prj"
"01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.sbn",499844,2025-08-13 12:22:49,0.476688385009766,"Historical/raw preprocessor input externalized from the lean Codex project; full copy retained in reproducibility and active roots.","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38_codex_work/01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.sbn","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38/01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.sbn"
"01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.sbx",20852,2025-08-13 12:22:49,0.0198860168457031,"Historical/raw preprocessor input externalized from the lean Codex project; full copy retained in reproducibility and active roots.","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38_codex_work/01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.sbx","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38/01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.sbx"
"01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.shp",26433364,2025-08-13 12:22:36,25.2088203430176,"Historical/raw preprocessor input externalized from the lean Codex project; full copy retained in reproducibility and active roots.","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38_codex_work/01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.shp","/Users/davidoconnor_mbp22/Documents/BRIM_v0.38/01_raw_data/blm/fedlands_blmca_undsslvd_calalb_13Aug2025.shp"
