"source_nlcs_id","source_name_candidate","alias_type","evidence_url","last_verified"
"NLCS000280","California National Historic Trail","official_name","https://www.nps.gov/cali/","2026-08-04"
"NLCS000280","California Trail","common_name","https://www.nps.gov/cali/","2026-08-04"
"NLCS000280","CALI","official_or_program_abbreviation","https://www.nps.gov/cali/","2026-08-04"
"NLCS000280","California NHT","abbreviated_name","https://www.nps.gov/cali/","2026-08-04"
"NLCS000281","Pony Express National Historic Trail","official_name","https://www.nps.gov/poex/","2026-08-04"
"NLCS000281","Pony Express Trail","common_name","https://www.nps.gov/poex/","2026-08-04"
"NLCS000281","POEX","official_or_program_abbreviation","https://www.nps.gov/poex/","2026-08-04"
"NLCS000281","Pony Express NHT","abbreviated_name","https://www.nps.gov/poex/","2026-08-04"
"NLCS000282","Old Spanish National Historic Trail","official_name","https://www.nps.gov/olsp/","2026-08-04"
"NLCS000282","Old Spanish Trail","common_name","https://www.nps.gov/olsp/","2026-08-04"
"NLCS000282","OLSP","official_or_program_abbreviation","https://www.nps.gov/olsp/","2026-08-04"
"NLCS000282","Old Spanish NHT","abbreviated_name","https://www.nps.gov/olsp/","2026-08-04"
"NLCS000283","Juan Bautista de Anza National Historic Trail","official_name","https://www.nps.gov/juba/","2026-08-04"
"NLCS000283","Anza Trail","common_name","https://www.nps.gov/juba/","2026-08-04"
"NLCS000283","JUBA","official_or_program_abbreviation","https://www.nps.gov/juba/","2026-08-04"
"NLCS000283","Juan Bautista de Anza NHT","abbreviated_name","https://www.nps.gov/juba/","2026-08-04"
"NLCS000284","Pacific Crest National Scenic Trail","official_name","https://www.fs.usda.gov/trails/pacific-crest-nst","2026-08-04"
"NLCS000284","Pacific Crest Trail","common_name","https://www.fs.usda.gov/trails/pacific-crest-nst","2026-08-04"
"NLCS000284","PCT","official_or_program_abbreviation","https://www.fs.usda.gov/trails/pacific-crest-nst","2026-08-04"
"NLCS000284","Pacific Crest NST","abbreviated_name","https://www.fs.usda.gov/trails/pacific-crest-nst","2026-08-04"
"NLCS000285","Butterfield Overland National Historic Trail","official_name","https://www.nps.gov/buov/","2026-08-04"
"NLCS000285","Butterfield Overland Trail","common_name","https://www.nps.gov/buov/","2026-08-04"
"NLCS000285","BUOV","official_or_program_abbreviation","https://www.nps.gov/buov/","2026-08-04"
"NLCS000285","Butterfield Overland NHT","abbreviated_name","https://www.nps.gov/buov/","2026-08-04"
"NLCS000282","OSNHT","abbreviation","https://www.nps.gov/olsp/","2026-08-04"
"NLCS000284","PCNST","abbreviation","https://www.fs.usda.gov/trails/pacific-crest-nst","2026-08-04"
"NLCS000285","Butterfield NHT","abbreviated_name","https://www.nps.gov/buov/","2026-08-04"
"NLCS000285","Butterfield Trail","common_short_name","https://www.nps.gov/buov/","2026-08-04"
